VAR3	StepID	x	y	finalcl	STEPLENGTH	TURNANGLE	BEARING	BRGPREV	NETDISP	arrival_bearing	next_bearing	bearing2targetmead	dist2targetmead	observed	landcover	bearing2pixel	bearing2gap	dist2gap	strata	Xdp	Xtm	XtmDtm_0	XtmDtm_pos0_5	XtmDtm_neg0_5	Xcg	XcgDcg_0	XcgDcg_pos0_5	XcgDcg_neg0_5	conifer	decid	meadow
10	18	387096.0716	5952361.394	0	10	0	200.2744222	200.2744222	165.1591213	-1.924651625	-1.924651719	-2.289472963	468.3968863	1	4	-1.570796327	-2.206119706	119.7624988	9	0.938043762	0.752677676	0.752677676	16.28981061	0.034777794	0.804879833	0.804879833	8.808287273	0.073547958	0	1	0
10	19	387092.6064	5952352.014	0	10	3.10E-10	200.2744222	200.2744222	175.098293	-1.924651719	-1.924651971	-2.297244912	459.0688726	1	4	-1.570796327	-2.231330078	110.1910236	10	0.938043729	0.747538029	0.747538029	16.01666949	0.03488947	0.789664867	0.789664867	8.289263112	0.075226301	0	1	0
10	20	387089.1413	5952342.634	0	10	0	200.2744222	200.2744222	185.0440193	-1.924651971	-1.924651625	-2.30533873	449.7697454	1	6	-1.570796327	-2.261313179	100.7028752	11	0.938043642	0.742137535	0.742137535	15.73908629	0.034993653	0.770916917	0.770916917	7.736214642	0.076822182	0	0	0
10	21	387085.6761	5952333.253	0	9.894526406	13.48709	213.7615162	200.2744222	194.9952972	-1.924651625	-2.160046127	-2.313773732	440.5013181	1	6	-2.35619449	-2.297493157	91.32400999	13	0.908321493	0.999100375	0.999100375	20.96924181	0.047603131	0.998277571	0.998277571	9.539899515	0.104462118	0	0	0
10	22	387080.1773	5952325.027	0	10	5.134455	218.8959714	213.7615162	204.7987166	-2.160046127	-2.249658626	-2.317291235	430.7261432	1	6	-2.35619449	-2.314121265	81.53407261	14	0.980824508	0.999243364	0.999243364	20.73823965	0.048147158	0.999115052	0.999115052	9.021631211	0.110648603	0	0	0
10	23	387073.8982	5952317.244	0	10	0	218.8959714	218.8959714	214.5643713	-2.249658626	-2.249659332	-2.318897443	420.7495429	1	4	-2.35619449	-2.323123633	71.55773696	15	0.99433042	0.999304546	0.999304546	20.49791507	0.048717617	0.999453209	0.999453209	8.454555229	0.11815012	0	1	0
10	24	387067.6192	5952309.461	0	10	2.60E-10	218.8959714	218.8959714	224.3506731	-2.249659332	-2.249659254	-2.32058165	410.7740874	1	4	-2.35619449	-2.335041323	61.58908552	16	0.994330495	0.99936593	0.99936593	20.25471139	0.049308639	0.99977628	0.99977628	7.846115675	0.12739458	0	1	0
10	25	387061.3401	5952301.679	0	10	-2.60E-10	218.8959714	218.8959714	234.1550333	-2.249659254	-2.249658626	-2.322349688	400.7998558	1	4	-2.35619449	-2.351558463	51.63255935	17	0.994330487	0.999427319	0.999427319	20.00852135	0.049921478	0.999989254	0.999989254	7.18550274	0.139166116	0	1	0
10	26	387055.061	5952293.896	0	9.997099266	-1.70855	217.1874127	218.8959714	243.9752748	-2.249658626	-2.219839514	-2.324207983	390.8269337	1	4	-2.35619449	-2.375956891	41.69683723	18	0.99433042	0.999488475	0.999488475	19.75923077	0.050557495	0.99980473	0.99980473	6.456047905	0.154833036	0	1	0
10	27	387049.0185	5952285.931	0	10	-1.11473	216.072681	217.1874127	253.855479	-2.219839514	-2.20038327	-2.326942372	380.885662	1	4	-2.35619449	-2.424765469	31.8592647	19	0.990718055	0.999572187	0.999572187	19.5079429	0.05121732	0.997649932	0.997649932	5.631136452	0.176750358	0	1	0
