id;day;month;year;hour;min;sec;lat;long
1045-a;22;3;2013;18;36;0;53.797581;-106.688035
1045-a;22;3;2013;19;34;42;53.799503;-106.681618
1045-a;22;3;2013;20;34;42;53.797581;-106.676389
1045-a;22;3;2013;21;34;42;53.797153;-106.659247
1045-a;23;3;2013;0;0;51;53.801046;-106.650562
1045-a;23;3;2013;1;0;28;53.801009;-106.650537
1045-a;23;3;2013;2;0;25;53.800972;-106.650456
1045-a;23;3;2013;3;0;34;53.801004;-106.650696
1045-a;23;3;2013;4;0;22;53.8012;-106.650621
1045-a;23;3;2013;5;0;33;53.801138;-106.650413
1045-a;23;3;2013;6;0;29;53.801115;-106.650144
1045-a;23;3;2013;7;0;48;53.801287;-106.650274
1045-a;23;3;2013;8;0;41;53.801097;-106.650474
1045-a;23;3;2013;9;0;48;53.801596;-106.649516
1045-a;23;3;2013;10;0;37;53.801193;-106.64962
1045-a;23;3;2013;11;0;33;53.801122;-106.650583
1045-a;23;3;2013;12;0;51;53.801399;-106.649574
1045-a;23;3;2013;13;0;47;53.801239;-106.650529
1045-a;23;3;2013;14;0;52;53.801483;-106.650106
1045-a;23;3;2013;15;0;32;53.801113;-106.650363
1045-a;23;3;2013;16;0;28;53.801121;-106.649979
1045-a;23;3;2013;17;0;37;53.799611;-106.651704
1045-a;23;3;2013;18;0;33;53.801095;-106.650543
1045-a;23;3;2013;19;0;21;53.801056;-106.650619
1045-a;23;3;2013;20;0;42;53.800393;-106.651532
1045-a;23;3;2013;21;0;32;53.801007;-106.650452
1045-a;23;3;2013;22;0;21;53.801044;-106.650532
1045-a;23;3;2013;23;0;33;53.800992;-106.650702
1045-a;24;3;2013;0;0;28;53.800082;-106.651836
1045-a;24;3;2013;1;0;24;53.801089;-106.6506
1045-a;24;3;2013;2;0;33;53.799526;-106.651402
1045-a;24;3;2013;3;0;32;53.799511;-106.651756
1045-a;24;3;2013;4;0;32;53.79957;-106.651822
1045-a;24;3;2013;5;0;27;53.799612;-106.651764
1045-a;24;3;2013;6;0;33;53.799561;-106.652015
1045-a;24;3;2013;7;0;26;53.799566;-106.652
1045-a;24;3;2013;8;0;39;53.799566;-106.651939
1045-a;24;3;2013;9;0;33;53.799532;-106.651971
1045-a;24;3;2013;10;0;33;53.799526;-106.651916
1045-a;24;3;2013;11;0;26;53.79958;-106.651923
1045-a;24;3;2013;12;0;33;53.799544;-106.65187
1045-a;24;3;2013;13;0;32;53.799545;-106.652004
1045-a;24;3;2013;14;0;26;53.799554;-106.651951
1045-a;24;3;2013;15;0;36;53.799484;-106.651929
1045-a;24;3;2013;16;0;28;53.799511;-106.651333
1045-a;24;3;2013;17;0;33;53.799574;-106.651804
1045-a;24;3;2013;18;0;33;53.79963;-106.651497
1045-a;24;3;2013;19;0;32;53.798224;-106.6511
1045-a;24;3;2013;20;0;36;53.798485;-106.651452
1045-a;24;3;2013;21;0;51;53.798341;-106.651548
1045-a;24;3;2013;22;0;34;53.79835;-106.652409
1045-a;24;3;2013;23;0;38;53.798238;-106.652712
1045-a;25;3;2013;0;0;33;53.797713;-106.666442
1045-a;25;3;2013;1;0;28;53.796936;-106.67049
1045-a;25;3;2013;2;0;33;53.798454;-106.674546
1045-a;25;3;2013;3;0;32;53.79894;-106.675885
1045-a;25;3;2013;4;0;33;53.799029;-106.675946
1045-a;25;3;2013;5;0;36;53.799107;-106.67602
1045-a;25;3;2013;6;0;35;53.79896;-106.675909
1045-a;25;3;2013;7;0;33;53.79896;-106.675899
1045-a;25;3;2013;8;0;48;53.79905;-106.676023
1045-a;25;3;2013;9;0;39;53.799016;-106.675896
1045-a;25;3;2013;10;0;37;53.798992;-106.675957
1045-a;25;3;2013;11;0;34;53.798877;-106.675802
1045-a;25;3;2013;12;0;33;53.799017;-106.676262
1045-a;25;3;2013;13;0;31;53.798991;-106.676372
1045-a;25;3;2013;14;0;33;53.799068;-106.676425
1045-a;25;3;2013;15;0;29;53.798956;-106.676564
1045-a;25;3;2013;16;0;35;53.798504;-106.676779
1045-a;25;3;2013;17;0;48;53.798501;-106.676975
1045-a;25;3;2013;18;0;33;53.798809;-106.677079
1045-a;25;3;2013;19;0;43;53.798851;-106.677242
1045-a;25;3;2013;20;0;33;53.798995;-106.676954
1045-a;25;3;2013;21;1;3;53.798972;-106.676815
1045-a;25;3;2013;22;0;31;53.798942;-106.676874
1045-a;25;3;2013;23;0;37;53.798932;-106.676831
1045-a;26;3;2013;0;0;32;53.798456;-106.676852
1045-a;26;3;2013;1;0;31;53.798432;-106.676827
1045-a;26;3;2013;2;0;45;53.797549;-106.675696
1045-a;26;3;2013;3;0;52;53.797602;-106.676225
1045-a;26;3;2013;4;0;27;53.797702;-106.676199
1045-a;26;3;2013;5;0;32;53.797677;-106.676226
1045-a;26;3;2013;6;0;28;53.797616;-106.676243
1045-a;26;3;2013;7;0;36;53.797672;-106.676202
1045-a;26;3;2013;8;0;48;53.797632;-106.676135
1045-a;26;3;2013;9;0;48;53.797669;-106.676186
1045-a;26;3;2013;10;1;4;53.797617;-106.676118
1045-a;26;3;2013;11;0;48;53.79768;-106.676233
1045-a;26;3;2013;12;0;56;53.797639;-106.676183
1045-a;26;3;2013;13;1;3;53.797655;-106.676193
1045-a;26;3;2013;14;0;33;53.797656;-106.676188
1045-a;26;3;2013;15;0;28;53.797295;-106.675809
1045-a;26;3;2013;16;0;34;53.797122;-106.675222
1045-a;26;3;2013;17;0;40;53.79739;-106.674637
1045-a;26;3;2013;18;0;59;53.797499;-106.676027
1045-a;26;3;2013;19;0;45;53.797518;-106.676386
1045-a;26;3;2013;20;1;51;53.797495;-106.676432
1045-a;26;3;2013;21;0;48;53.797521;-106.676392
1045-a;26;3;2013;22;0;35;53.797548;-106.676211
1045-a;26;3;2013;23;0;52;53.797544;-106.676148
1045-a;27;3;2013;0;0;33;53.79673;-106.676688
1045-a;27;3;2013;3;0;50;53.796003;-106.676113
1045-a;27;3;2013;6;0;44;53.796189;-106.676119
1045-a;27;3;2013;9;0;42;53.796215;-106.676081
1045-a;27;3;2013;12;0;48;53.796213;-106.676073
1045-a;27;3;2013;15;0;34;53.796141;-106.675989
1045-a;27;3;2013;18;0;48;53.794412;-106.676521
1045-a;27;3;2013;21;0;36;53.794474;-106.676529
1045-a;28;3;2013;0;0;49;53.794084;-106.678615
